,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
534,February,12,1939,c,14,15,Marine Airways,Air,Fairchild 71(amphibious),No category,United States,Ketchikan - Juneau,6 ,6 ,0,The air taxi crashed on Grand Island.
535,February,24,1939,c,09,45,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,France,"Barcelona, Spain - Rome, Italy",10 ,10 ,0,"While cruising in bad weather conditions, aircraft hit a mountain near Roubion, in the National Park of Mercantour, 50 km north of Nice. Engine trouble may have factored in the accident, which occurred in adverse weather conditions, with fog and falling snow in the area."
536,March,14,1939,not c,Unknown,Unknown,Sabena,No category,Junkers JU-52,No category,Belgium,Unknown,3 ,3 ,0,Unknown
537,March,16,1939,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-86,No category,Colombia,Unknown,8 ,8 ,0,Unknown
538,March,18,1939,not c,Unknown,Unknown,Boeing Aircraft Company,Company,Boeing 307 Stratoliner,Douglas,United States,Test flight,10 ,10 ,0,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin."
539,March,26,1939,not c,14,48,Braniff Airlines,Air,Douglas DC-2-112,No category,United States,Chicago - Dallas,12 ,8 ,0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely."
540,April,03,1939,not c,Unknown,Unknown,Air France,Air,Caudron C.635 Simoun,No category,Morocco,Unknown,9 ,9 ,0,Crashed into a mountain.
541,May,01,1939,not c,Unknown,Unknown,Imperial Airways,Air,Short Empire Flying Boat,No category,Mocambique,Unknown,6 ,2 ,0,Unknown
542,May,02,1939,c,15,30,Air France,Air,Dewoitine D-338,No category,Morocco,"Casablanca, Morocco - Dakar, Senegal",9 ,9 ,0,Crashed and burned on a hillside due to icing.
543,May,08,1939,c,12,00,Military - Ecuadorian Air Force,Military,Curtiss-Wright C-14 Osprey,No category,Ecuador,Unknown,1 ,1 ,22,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college."
544,June,06,1939,not c,09,25,KLM Royal Duch Airlines,Air,Douglas DC-2,No category,Amsterdam,Training,4 ,0 ,1,"During  a training flight with one engine out,  the crew hit an obstacle and then a sentry-box with 9 soldiers inside. One soldier  died and 3 others were wounded. The aircraft was repaired."
545,June,10,1939,not c,16,20,KLM Royal Dutch Airlines,Air,Koolhoven FK.43,No category,The Netherlands,Haamstede - Vlissingen,3 ,3 ,0,"The crew  made a steep turn over a beach at too low a speed, stalled and crashed. The crew existed of two student pilots."
546,July,20,1939,not c,d1,:50,Swissair,Air,Junkers JU86 Z-2,No category,Switzerland,"Vienna, Austria - Zurich, Switzerland",6 ,6 ,0,The aircraft crashed after an engine fire caused a loss in air speed and a stall..
547,August,04,1939,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Spain,"Toulouse, France - Casablanca, Morocco",7 ,7 ,0,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.
548,August,13,1939,c,16,35,Pan American World Airways,Air,Sikorsky S43 (flying boat),No category,Brazil,Miami - Rio de Janerio,16 ,14 ,0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions."
549,August,15,1939,c,:1,;00,British Airways,Air,Lockheed 10 Electra,Cessna,Denmark,London - Hamburg - Copenhagen,6 ,5 ,0,"Crashed into the sea after a fire aboard. Leakage of fuel from the overflow boxes, which resulted from overfilling of the fuel tanks."
550,August,28,1939,not c,Unknown,Unknown,Indian National Airways,Air,De Havilland D-84,No category,India,Unknown,2 ,2 ,0,Unknown
551,August,30,1939,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Germany,Berlin - Hanover - Cologne - London,7 ,7 ,0,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.
552,September,26,1939,not c,14,;10,KLM Royal Dutch Airlines,Air,Douglas DC-3,No category,North Sea,Copenhagen - Amsterdam,20 ,1 ,0,One Swedish passenger was killed when the plane was attacked by a German fighter. The plane was able to land safely in Amsterdam.
553,November,20,1939,not c,Unknown,Unknown,British Airways,Air,Airspeed Oxford,No category,England,Unknown,2 ,2 ,0,Unknown
554,December,18,1939,not c,Unknown,Unknown,Iberia Airlines,Air,Junkers JU-52,No category,South of Gibraltar,Alcante - Morocco,10 ,10 ,0,Shot down by British anti-aircraft fire. Crashed 6 miles south of Europa Point.
555,December,21,1939,c,13,00,Imperial Airways,Air,Lockheed 14 Super Electra,Cessna,Off Malta-Luqa,Egypt - England,11 ,5 ,0,"Ditched into the sea, 300 miles NW of Alexandria, Egypt. A ship rescued six survivers."
556,December,24,1939,c,08,00,Linee Aeree Italiane,No category,Savoia-Marchetti SM83,No category,Morocco,Rome - Rio de Janerio,7 ,7 ,0,Crashed into a mountain in  a storm while attempting to make a forced landing.
557,January,22,1940,not c,Unknown,Unknown,KNILM,No category,Lockheed 14 Super Electra,Cessna,Indonesia,Unknown,9 ,8 ,0,Crashed into the sea shortly after take-off. Cause unknown
558,February,10,1940,not c,Unknown,Unknown,Ala Littoria SA,No category,Savoia-Marchetti SM-75,No category,Italy,Brindisi - Rome,10 ,10 ,0,Crashed and burned on a hill side in fog. Prior to crashing the crew reported ice on the wings.
559,February,27,1940,c,10,00,SCADTA,No category,Boeing 247D,Douglas,Columbia,Bogota - Cucuta,11 ,11 ,0,The plane crashed in the Andes after the crew lost their bearings in fog.
560,March,01,1940,not c,Unknown,Unknown,Imperial Airways,Air,Handley Page HP-42,No category,Gulf of Oman,Jask to Sharjah,8 ,8 ,0,"Crashed in the Persian Gulf while en route with out a trace. The aircraft was named ""Hannibal."""
561,March,16,1940,not c,Unknown,Unknown,Aviolinee,No category,Savoia Marchetti SM 73,No category,Italy,"Tripoli, Palermo, Napoli.",5 ,5 ,0,The plane crashed into Stromboli Volcano. The cause was possibly bad weather or some electromagnetic phenomena.
562,April,22,1940,not c,Unknown,Unknown,British Overseas Airways,Air,Lockheed 14 Super Electra,Cessna,Scotland,"Perth, Scotland - London, England",3 ,3 ,0,Unknown
563,June,02,1940,not c,Unknown,Unknown,Douglas Aircraft Company,Company,Douglas DC-5,No category,United States,Test flight,5 ,5 ,0,Crashed and burned during a government test flight
564,June,14,1940,not c,14,00,Aero O-Y,No category,Junkers JU-52/3mge,No category,Estonia,"Tallinn, Estonia - Helsinki, Finland",9 ,9 ,0,The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named Kaleva.
565,June,20,1940,not c,Unknown,Unknown,Air France,Air,Dewoitine D-338,No category,France,Unknown,1 ,1 ,0,Inadvertently shot down by French anti-aircraft fire.
566,July,07,1940,not c,Unknown,Unknown,Air France,Air,Dewoitine D-338,No category,Gulf of Tonkin,Unknown,? ,? ,0,Shot down by a Japanese military fighter.
567,August,09,1940,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Douglas DC-2-115H,No category,Germany,Unknown,13 ,2 ,0,Pilot error.
568,August,13,1940,not c,10,15,Military - Royal Australian Air Force,Military,Lockheed Hudson A16-97,Cessna,Australia,Melbourne - Canberra,10 ,10 ,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classic symptoms of a stall, too close to the ground for recovery."
569,August,23,1940,not c,Unknown,Unknown,LARES,No category,Douglas DC-3,No category,Romania,Unknown,15 ,15 ,0,Crashed into a mountainous area during a hail and thunderstorm.
570,August,31,1940,not c,14,41,Pennsylvania Central Airlines,Air,Douglas DC-3,No category,United States,Washington D.C. - Detroit,25 ,25 ,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
571,October,29,1940,not c,Unknown,Unknown,China National Aviation Corporation,No category,Douglas DC-2,No category,China,Chungking - Kunming,14 ,9 ,0,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.
572,October,29,1940,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Douglas DC-3,No category,Germany,Unknown,15 ,2 ,0,Weather related.
573,November,04,1940,not c,Unknown,Unknown,Lloyd Aero Boliviano SA,No category,Junkers Ju-52/3m,No category,Bolivia,Santa Cruz - Corumba,17 ,17 ,0,Crashe in a storm while en route. Wreckage found 15 months later.
574,November,04,1940,not c,04,42,United Air Lines,Air,Douglas DC-3,No category,United States,Oakland - Salt Lake City,10 ,10 ,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration."
575,November,08,1940,not c,Unknown,Unknown,VASP,No category,Junkers Ju53/2m,No category,Brazil,Rio de Janeiro - Sao Paulo,18 ,18 ,0,"Midair collision with a private plane. Seventeen killed on the Junkers, 1 on the private plane."
576,November,08,1940,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-90A-1,No category,Germany,Berlin - Budapest,29 ,29 ,0,Crashed in route. Icing.
577,November,27,1940,not c,Unknown,Unknown,Air France,Air,Farman F-224,No category,Mediterranean Sea,Unknown,6 ,6 ,0,Shot down by Italian aircraft.
578,December,04,1940,not c,17,48,United Air Lines,Air,Douglas DC-3A,No category,United States,New York City - Chicago,16 ,10 ,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.
579,January,10,1941,not c,Unknown,Unknown,LATI,No category,Savoia-Marchetti SM-83,No category,Mediterranean Sea,Unknown,16 ,16 ,0,Crashed into the sea while en route.
580,January,15,1941,not c,Unknown,Unknown,LATI,No category,Savoia-Marchetti SM-75,No category,Brazil,Unknown,10 ,10 ,0,Crashed near the Equator after the crew had lost an engine. Three hours later an SOS was transmitted.
581,January,17,1941,not c,Unknown,Unknown,Malert Airlines,Air,Junkers JU-52/3m,No category,Hungary,Budapest - Maros-Vasarhely,16 ,12 ,0,Crashed while en route.
582,January,20,1941,not c,Unknown,Unknown,China National Aviation Corporation,No category,Ford 5-AT Tri-Motor,No category,China,Unknown,6 ,5 ,0,Crashed into mountains during a thunderstorm
583,January,23,1941,not c,04,13,Trans Continental and Western Air,Air,Douglas DC-3-3,No category,United States,"Kansas City, MO - New York",13 ,2 ,0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
